fecha,mei,nino12,nino3,nino34,nino4,oni,soi
1961-01-01,,0.13,-0.34,-0.15,-0.26,0.04,-0.43
1961-02-01,,0.64,0.1,0.04,-0.13,0.03,0.58
1961-03-01,,-0.04,-0.13,-0.1,-0.28,0.04,-2.47
1961-04-01,,-0.3,0.3,0.13,-0.36,0.09,1.15
1961-05-01,,-0.26,0.06,-0.01,-0.23,0.23,0.18
1961-06-01,,-0.26,0.09,0.1,-0.23,0.27,-0.53
1961-07-01,,-0.86,-0.67,-0.32,-0.39,0.14,0.18
1961-08-01,,-0.48,-0.59,-0.25,-0.39,-0.13,-0.16
1961-09-01,,-0.71,-0.93,-0.52,-0.46,-0.3,0.11
1961-10-01,,-0.45,-0.92,-0.71,-0.62,-0.26,-0.73
1961-11-01,,-0.35,-0.32,-0.19,-0.47,-0.19,0.68
1961-12-01,,-0.39,-0.32,-0.29,-0.59,-0.16,1.31
1962-01-01,,-0.33,-0.17,-0.25,-0.76,-0.24,1.72
1962-02-01,,-0.44,-0.13,-0.16,-0.42,-0.22,-0.41
1962-03-01,,-1.4,-0.59,-0.41,-0.48,-0.2,-0.32
1962-04-01,,-1.66,-0.77,-0.32,-0.26,-0.26,0.3
1962-05-01,,-0.54,-0.73,-0.42,-0.41,-0.28,1.1
1962-06-01,,-0.63,-0.55,-0.22,-0.23,-0.2,0.37
1962-07-01,,-0.77,-0.39,-0.3,-0.38,-0.04,-0.04
1962-08-01,,-0.31,-0.1,-0.13,-0.34,-0.07,0.26
1962-09-01,,-0.28,-0.55,-0.56,-0.52,-0.11,0.53
1962-10-01,,-0.89,-0.5,-0.33,-0.41,-0.22,0.95
1962-11-01,,-0.86,-0.68,-0.43,-0.31,-0.31,0.27
1962-12-01,,-1.24,-0.79,-0.49,-0.43,-0.43,-0.1
1963-01-01,,-0.31,-0.37,-0.32,-0.45,-0.4,0.8
1963-02-01,,-0.5,-0.37,-0.26,-0.25,-0.15,0.26
1963-03-01,,-0.02,-0.0,-0.06,-0.23,0.15,0.66
1963-04-01,,-0.54,-0.02,-0.06,-0.13,0.27,0.51
1963-05-01,,0.1,0.06,-0.0,-0.14,0.31,0.14
1963-06-01,,0.04,0.39,0.12,-0.38,0.52,-1.3
1963-07-01,,0.24,0.84,0.72,0.04,0.86,-0.13
1963-08-01,,0.54,0.9,0.9,0.27,1.14,-0.43
1963-09-01,,0.66,0.63,0.65,0.14,1.22,-0.6
1963-10-01,,0.32,0.78,0.84,0.4,1.29,-1.46
1963-11-01,,-0.0,0.67,0.75,0.42,1.37,-0.93
1963-12-01,,-0.14,0.96,1.05,0.4,1.31,-1.35
1964-01-01,,-0.63,0.44,0.76,0.29,1.07,-0.53
1964-02-01,,-1.03,0.03,0.55,0.34,0.62,-0.13
1964-03-01,,-1.0,-0.36,-0.16,-0.21,0.12,0.71
1964-04-01,,-0.86,-1.03,-0.53,-0.18,-0.33,1.78
1964-05-01,,-2.05,-1.38,-0.74,-0.38,-0.58,-0.02
1964-06-01,,-1.23,-1.23,-0.88,-0.65,-0.58,0.72
1964-07-01,,-1.12,-0.65,-0.65,-0.71,-0.6,0.62
1964-08-01,,-1.09,-1.03,-0.76,-0.89,-0.66,1.32
1964-09-01,,-0.34,-0.77,-0.93,-1.23,-0.76,1.29
1964-10-01,,-1.24,-0.92,-1.0,-1.19,-0.8,1.26
1964-11-01,,-0.74,-0.93,-1.1,-1.17,-0.82,-0.06
1964-12-01,,-0.98,-1.13,-1.07,-0.96,-0.78,-0.49
1965-01-01,,-0.43,-0.7,-0.57,-0.52,-0.59,-0.52
1965-02-01,,0.07,-0.36,-0.36,-0.46,-0.28,0.01
1965-03-01,,0.61,-0.17,-0.34,-0.54,-0.07,0.24
1965-04-01,,1.69,0.1,-0.09,-0.27,0.18,-1.34
1965-05-01,,2.16,0.54,0.19,-0.2,0.46,-0.03
1965-06-01,,1.98,0.71,0.45,-0.09,0.83,-1.63
1965-07-01,,1.72,0.94,0.81,0.07,1.22,-2.32
1965-08-01,,1.55,1.32,1.25,0.28,1.54,-1.37
1965-09-01,,1.07,1.25,1.26,0.3,1.85,-1.41
1965-10-01,,0.8,1.37,1.61,0.6,1.98,-1.22
1965-11-01,,0.84,1.43,1.54,0.7,1.97,-1.86
1965-12-01,,0.92,1.3,1.45,0.68,1.72,0.02
1966-01-01,,0.77,1.12,1.13,0.59,1.37,-1.36
1966-02-01,,-0.03,0.51,0.83,0.58,1.17,-0.54
1966-03-01,,-1.06,0.05,0.83,0.82,0.98,-1.75
1966-04-01,,-1.08,-0.02,0.54,0.35,0.66,-0.9
1966-05-01,,-0.76,-0.6,-0.06,0.25,0.35,-0.71
1966-06-01,,-0.76,-0.32,0.14,0.21,0.24,0.14
1966-07-01,,-0.35,-0.18,0.23,0.39,0.24,-0.15
1966-08-01,,-0.35,-0.5,-0.1,0.24,0.12,0.19
1966-09-01,,-0.44,-0.44,-0.05,0.13,-0.05,-0.24
1966-10-01,,-0.43,-0.31,-0.05,0.01,-0.1,-0.33
1966-11-01,,-0.58,-0.7,-0.37,-0.12,-0.18,-0.2
1966-12-01,,-0.85,-0.69,-0.26,-0.08,-0.3,-0.61
1967-01-01,,-0.82,-0.49,-0.55,-0.74,-0.41,1.52
1967-02-01,,-0.4,-0.42,-0.56,-0.67,-0.48,1.2
1967-03-01,,-0.66,-0.47,-0.47,-0.41,-0.53,0.65
1967-04-01,,-0.26,-0.69,-0.53,-0.04,-0.45,-0.12
1967-05-01,,-0.68,-0.41,-0.24,0.15,-0.24,-0.41
1967-06-01,,-0.44,-0.12,-0.12,-0.04,-0.0,0.67
1967-07-01,,-0.7,-0.42,-0.1,-0.09,0.05,0.18
1967-08-01,,-1.14,-0.71,-0.31,-0.25,-0.16,0.44
1967-09-01,,-1.18,-0.95,-0.59,-0.44,-0.3,0.44
1967-10-01,,-1.53,-0.96,-0.38,-0.2,-0.38,-0.17
1967-11-01,,-1.4,-0.92,-0.34,-0.1,-0.34,-0.57
1967-12-01,,-1.56,-0.85,-0.35,-0.14,-0.44,-0.78
1968-01-01,,-1.16,-1.16,-0.6,-0.25,-0.64,0.47
1968-02-01,,-0.97,-1.32,-0.74,-0.03,-0.74,0.77
