estacion,variable,metodo,fecha_quiebre,p_valor,h
lp,t_min,pettitt,1979-10-09,0.0,True
lp,t_min,snht,1979-10-09,0.0,True
lp,t_min,buishand,1979-10-09,0.0,True
lp,t_max,pettitt,2003-10-13,0.0,True
lp,t_max,snht,1961-09-23,0.0,True
lp,t_max,buishand,2007-10-15,0.0,True
lp,t_media,pettitt,1992-04-05,0.0003,True
lp,t_media,snht,1967-03-08,0.0,True
lp,t_media,buishand,1992-04-05,0.0011,True
aero,t_min,pettitt,1995-10-30,0.0,True
aero,t_min,snht,1961-03-31,0.0,True
aero,t_min,buishand,1996-09-29,0.0,True
aero,t_max,pettitt,1976-10-28,0.0,True
aero,t_max,snht,1975-10-11,0.0,True
aero,t_max,buishand,1976-10-28,0.0,True
aero,t_media,pettitt,1995-10-17,0.0,True
aero,t_media,snht,1977-10-16,0.0,True
aero,t_media,buishand,1995-10-17,0.0,True
ezeiza,t_min,pettitt,1996-09-30,0.0,True
ezeiza,t_min,snht,1961-03-31,0.0,True
ezeiza,t_min,buishand,1996-09-30,0.0,True
ezeiza,t_max,pettitt,1988-10-26,0.0,True
ezeiza,t_max,snht,1984-09-29,0.0,True
ezeiza,t_max,buishand,1984-10-06,0.0,True
ezeiza,t_media,pettitt,1988-11-01,0.0,True
ezeiza,t_media,snht,1995-10-17,0.0,True
ezeiza,t_media,buishand,1995-10-17,0.0,True
obs,t_min,pettitt,2013-10-07,0.0007,True
obs,t_min,snht,1961-03-31,0.0,True
obs,t_min,buishand,2013-10-06,0.00195,True
obs,t_max,pettitt,1994-10-31,0.0,True
obs,t_max,snht,2007-10-15,0.0,True
obs,t_max,buishand,1994-10-31,0.0,True
obs,t_media,pettitt,1994-10-31,0.0,True
obs,t_media,snht,1994-10-31,0.0,True
obs,t_media,buishand,1994-10-31,0.0,True
pta,t_min,pettitt,2014-10-14,0.0,True
pta,t_min,snht,2014-10-14,0.0,True
pta,t_min,buishand,2014-10-02,0.0,True
pta,t_max,pettitt,1994-10-30,0.0,True
pta,t_max,snht,2007-10-15,0.0,True
pta,t_max,buishand,1994-10-30,0.0,True
pta,t_media,pettitt,1988-10-26,0.0,True
pta,t_media,snht,2007-10-15,0.0,True
pta,t_media,buishand,1988-10-26,0.0,True
